name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,31.8151159809986,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
wrist flection - left,0,0,0,1,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
wrist extension - right,0,1,1,0,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
4-5 finger contration,0,2,2,3,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
fist,0,3,3,4,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
4-5 finger contration,0,4,4,3,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
wrist extension - right,1,0,5,0,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
fist,1,1,6,4,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
thumb middle adduction,1,2,7,2,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
thumb middle adduction,1,3,8,2,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
wrist flection - left,1,4,9,1,,,,,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
,,,,,,,,,,,space,110.10042217000046,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
wrist extension - right,,,,,0,0,0,0,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
fist,,,,,0,1,1,4,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
4-5 finger contration,,,,,0,2,2,3,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
fist,,,,,0,3,3,4,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
thumb middle adduction,,,,,0,4,4,2,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
wrist extension - right,,,,,1,0,5,0,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
thumb middle adduction,,,,,1,1,6,2,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
wrist flection - left,,,,,1,2,7,1,,,,,,001,2019_kwi_10_1640,experiment_2,3.0.5,59.98485274480308,
